TART-OF-LOG:  2.0
ARRL-SECTION:
CALLSIGN: EA4DXP
CATEGORY: SINGLE-OP ALL HIGH SSB
CLAIMED-SCORE: 152285
CLUB:
CONTEST: CQ-WW-SSB
CREATED-BY:
NAME: Luis Alarcon Palencia
OPERATORS:
SOAPBOX: RIG: Kenwood TS-520 SP
SOAPBOX: PWR: 200 W
SOAPBOX: ANT1: 10/15/20 m - ECO AVT vertical
SOAPBOX: ANT2: 40/80 m - homemade wire dipole
SOAPBOX: I like much this contest. See you next year!
QSO:  7200 PH 2005-10-29 0003 EA4DXP        59  14     CT3YA         59  33
QSO:  7200 PH 2005-10-29 0006 EA4DXP        59  14     GM2T          59  14
QSO:  7200 PH 2005-10-29 0008 EA4DXP        59  14     UW2M          59  14
QSO:  7200 PH 2005-10-29 0020 EA4DXP        59  14     S58M          59  15
QSO:  3800 PH 2005-10-29 0023 EA4DXP        59  14     ON4LO         59  14
QSO:  3800 PH 2005-10-29 0027 EA4DXP        59  14     EC1AGG        59  14
QSO:  3800 PH 2005-10-29 0031 EA4DXP        59  14     EI7M          59  14
QSO:  3800 PH 2005-10-29 0039 EA4DXP        59  14     IZ0BVU        59  15
QSO:  3800 PH 2005-10-29 0041 EA4DXP        59  14     M2W           59  14
QSO:  3800 PH 2005-10-29 0042 EA4DXP        59  14     ON4CCP        59  14
QSO:  3800 PH 2005-10-29 0106 EA4DXP        59  14     TM5L          59  14
QSO:  3800 PH 2005-10-29 0109 EA4DXP        59  14     PI4FRG        59  14
QSO:  3800 PH 2005-10-29 0111 EA4DXP        59  14     CT3YA         59  33
QSO: 14175 PH 2005-10-29 0116 EA4DXP        59  14     D44TD         59  35
QSO: 14175 PH 2005-10-29 0121 EA4DXP        59  14     CT3YA         59  33
QSO:  7000 PH 2005-10-29 0132 EA4DXP        59  14     S58N          59  15
QSO:  7000 PH 2005-10-29 0135 EA4DXP        59  14     M6T           59  14
QSO:  7000 PH 2005-10-29 0139 EA4DXP        59  14     ES5MC         59  15
QSO:  7000 PH 2005-10-29 0143 EA4DXP        59  14     9A7A          59  15
QSO:  7000 PH 2005-10-29 0144 EA4DXP        59  14     CN2R          59  33
QSO:  7000 PH 2005-10-29 0149 EA4DXP        59  14     5B/AJ2O       59  15
QSO:  7000 PH 2005-10-29 0154 EA4DXP        59  14     OO4JZ         59  14
QSO:  7000 PH 2005-10-29 0158 EA4DXP        59  14     GM5A          59  14
QSO:  7000 PH 2005-10-29 0200 EA4DXP        59  14     V26B          59  08
QSO:  7000 PH 2005-10-29 0206 EA4DXP        59  14     RK3DXZ        59  16
QSO:  7000 PH 2005-10-29 0212 EA4DXP        59  14     ES5TV         59  15
QSO:  7000 PH 2005-10-29 0217 EA4DXP        59  14     MD4K          59  14
QSO:  3800 PH 2005-10-29 0231 EA4DXP        59  14     IU1B          59  15
QSO:  3800 PH 2005-10-29 0233 EA4DXP        59  14     3V5A          59  33
QSO:  3800 PH 2005-10-29 0238 EA4DXP        59  14     TM2Y          59  14
QSO:  3800 PH 2005-10-29 0239 EA4DXP        59  14     LY7Z          59  15
QSO:  7000 PH 2005-10-29 0300 EA4DXP        59  14     8P1A          59  08
QSO:  7200 PH 2005-10-29 0303 EA4DXP        59  14     PA7MM         59  14
QSO:  7200 PH 2005-10-29 0305 EA4DXP        59  14     IO4T          59  15
QSO:  7200 PH 2005-10-29 0306 EA4DXP        59  14     IR3J          59  15
QSO:  7200 PH 2005-10-29 0308 EA4DXP        59  14     IR4X          59  15
QSO:  7200 PH 2005-10-29 0311 EA4DXP        59  14     PA1T          59  14
QSO:  7200 PH 2005-10-29 0315 EA4DXP        59  14     FM5BH         59  08
QSO:  7200 PH 2005-10-29 0317 EA4DXP        59  14     YP3A          59  20
QSO:  7200 PH 2005-10-29 0318 EA4DXP        59  14     LN1T          59  14
QSO:  7200 PH 2005-10-29 0321 EA4DXP        59  14     J7DM          59  08
QSO:  7200 PH 2005-10-29 0322 EA4DXP        59  14     EU2MM         59  16
QSO:  7200 PH 2005-10-29 0333 EA4DXP        59  14     9Y4W          59  09
QSO:  7200 PH 2005-10-29 0334 EA4DXP        59  14     UA9AYA        59  17
QSO:  7200 PH 2005-10-29 0339 EA4DXP        59  14     DQ0Q          59  14
QSO:  7200 PH 2005-10-29 0347 EA4DXP        59  14     4M5DX         59  09
QSO:  7200 PH 2005-10-29 0351 EA4DXP        59  14     YO7LFV        59  20
QSO:  7200 PH 2005-10-29 0406 EA4DXP        59  14     SV1AAU        59  20
QSO:  7200 PH 2005-10-29 0408 EA4DXP        59  14     PJ4W          59  09
QSO:  7200 PH 2005-10-29 0412 EA4DXP        59  14     HB9H          59  14
QSO:  7200 PH 2005-10-29 0416 EA4DXP        59  14     PX8C          59  11
QSO:  7200 PH 2005-10-29 0443 EA4DXP        59  14     EI7M          59  14
QSO:  7200 PH 2005-10-29 0444 EA4DXP        59  14     OK1RI         59  15
QSO:  7200 PH 2005-10-29 0446 EA4DXP        59  14     IR7G          59  15
QSO:  7200 PH 2005-10-29 0452 EA4DXP        59  14     SM0P          59  14
QSO:  7200 PH 2005-10-29 0454 EA4DXP        59  14     PA6Z          59  14
QSO:  7200 PH 2005-10-29 0455 EA4DXP        59  14     YT7A          59  15
QSO:  7200 PH 2005-10-29 0459 EA4DXP        59  14     LZ9W          59  20
